PersonId,FullName,FirstName,LastName,MiddleName,NickName,Suffix
Craig Johnson:25,Craig Johnson,Craig,Johnson,,,
Curt Menard:15,Curt Menard,Curt,Menard,,,
Cynthia Toohey:18,Cynthia Toohey,Cynthia,Toohey,,,
Dan Ogg:23,Dan Ogg,Dan,Ogg,,,
Dan Ortiz:29,Dan Ortiz,Dan,Ortiz,,,
Dan Saddler:27,Dan Saddler,Dan,Saddler,,,
Dave Choquette:17,Dave Choquette,Dave,Choquette,,,
Dave Donley:15,Dave Donley,Dave,Donley,,,
Dave Talerico:29,Dave Talerico,David,Talerico,,Dave,
Dave Thompson:14,Dave Thompson,Dave,Thompson,,,
David Cuddy:12,David Cuddy,David,Cuddy,,,
David Eastman:30,David Eastman,David,Eastman,,,
David Finkelstein:16,David Finkelstein,David,Finkelstein,,,
David Guttenberg:23,David Guttenberg,David,Guttenberg,,,
David Harrison:3,David Harrison,David,Harrison,,,
David Nelson:32,David Nelson,David,Nelson,,,
David Wilson:30,David Wilson,David,Wilson,,,
Dean Westlake:30,Dean Westlake,Dean,Westlake,,,
DeLena Johnson:30,DeLena Johnson,DeLena,Johnson,,,
Dennis Egan:26,Dennis Egan,Dennis,Egan,,,
Don Bennett:10,Don Bennett,Don,Bennett,,,
Don Long:19,Don Long,Don,Long,,,
Don Smith:5,Don Smith,Don,Smith,,,
Donald Clocksin:12,Donald Clocksin,Donald,Clocksin,,,
Donald Gilman:12,Donald Gilman,Donald,Gilman,,,
Donald Harris:1,Donald Harris,Donald,Harris,,,
Donald Olson:22,Donald Olson,Donald,Olson,,Donny,
Donald Young:5,Donald Young,Donald,Young,,,
Donna Mears:33,Donna Mears,Donna,Mears,,,
Dora Sweeney:1,Dora Sweeney,Dora,Sweeney,,,
Doug Isaacson:28,Doug Isaacson,Doug,Isaacson,,,
Douglas Gray:1,Douglas Gray,Douglas,Gray,,,
Drew Scalzi:22,Drew Scalzi,Drew,Scalzi,,,
Drue Pearce:14,Drue Pearce,Drue,Pearce,,,
E Haugen:4,E Haugen,E,Haugen,,,
Earl Hillstrand:1,Earl Hillstrand,Earl,Hillstrand,,,
Eben Hopson:1,Eben Hopson,Eben,Hopson,,,
Ed Dankworth:10,Ed Dankworth,Ed,Dankworth,,,
Edgar Baggen:2,Edgar Baggen,Edgar,Baggen,,,
Edmund Orbeck:1,Edmund Orbeck,Edmund,Orbeck,,,
Edna DeVries:14,Edna DeVries,Edna,DeVries,,,
Edward Barber:7,Edward Barber,Edward,Barber,,,
Edward Flynn:7,Edward Flynn,Edward,Flynn,,,
Edward Merdes:6,Edward Merdes,Edward,Merdes,,,
Edward Naughton:7,Edward Naughton,Edward,Naughton,,,
Edward Willis:9,Edward Willis,Edward,Willis,,,
Eileen MacLean:16,Eileen MacLean,Eileen,MacLean,,,
Eldon Mulder:18,Eldon Mulder,Eldon,Mulder,,,
Elexie Moore:34,Elexie Moore,Elexie,Moore,,,
Elton Engstrom Jr:4,Elton Engstrom Jr,Elton,Engstrom,,,Jr
Elton Engstrom Sr:2,Elton Engstrom Sr,Elton,Engstrom,,,Sr
Elvi Gray-Jackson:31,Elvi Gray-Jackson,Elvi,Gray-Jackson,,,
Eric Croft:20,Eric Croft,Eric,Croft,,,
Eric Feige:27,Eric Feige,Eric,Feige,,,
Eric Sutcliffe:12,Eric Sutcliffe,Eric,Sutcliffe,,,
Ethan Berkowitz:20,Ethan Berkowitz,Ethan,Berkowitz,,,
Eugene Kubina:16,Eugene Kubina,Eugene,Kubina,,,
Eugene Miller:6,Eugene Miller,Eugene,Miller,,,
Eugene Reid:3,Eugene Reid,Eugene,Reid,,,
F Wallis:14,F Wallis,F,Wallis,,,
Forbes Baker:2,Forbes Baker,Forbes,Baker,,,
Forrest Dunbar:33,Forrest Dunbar,Forrest,Dunbar,,,
Fr Llorente:2,Fr Llorente,Fr,Llorente,,,
Fran Ulmer:15,Fran Ulmer,Fran,Ulmer,,,
Frank Cashel:1,Frank Cashel,Frank,Cashel,,,
Frank Chapados:1,Frank Chapados,Frank,Chapados,,,
Frank Ferguson:7,Frank Ferguson,Frank,Ferguson,,,
Frank Getman:5,Frank Getman,Frank,Getman,,,
Frank Harris:5,Frank Harris,Frank,Harris,,,
Frank Peratrovich:1,Frank Peratrovich,Frank,Peratrovich,,,
Frank See:4,Frank See,Frank,See,,,
Frank Tomaszewski:33,Frank Tomaszewski,Frank,Tomaszewski,,,
Fred Brown:9,Fred Brown,Fred,Brown,,,
Fred Dyson:20,Fred Dyson,Fred,Dyson,,,
Fred Zharoff:11,Fred Zharoff,Fred,Zharoff,,,
Fritz Pettyjohn:13,Fritz Pettyjohn,Fritz,Pettyjohn,,,
Gabrielle LeDoux:24,Gabrielle LeDoux,Gabrielle,LeDoux,,,
Gail Phillips:17,Gail Phillips,Gail,Phillips,,,
Gary Davis:18,Gary Davis,Gary,Davis,,,
Gary Knopp:30,Gary Knopp,Gary,Knopp,,,
Gary Stevens:22,Gary Stevens,Gary,Stevens,,,
Gary Wilken:20,Gary Wilken,Gary,Wilken,,,
Gene Guess:4,Gene Guess,Gene,Guess,,,
Gene Therriault:18,Gene Therriault,Gene,Therriault,,,
Genevieve Mina:33,Genevieve Mina,Genevieve,Mina,,,
Genie Chance:6,Genie Chance,Genie,Chance,,,
George Hohman:5,George Hohman,George,Hohman,,,
George Jacko:16,George Jacko,George,Jacko,,,
George McNabb:1,George McNabb,George,McNabb,,,
George Rauscher:30,George Rauscher,George,Rauscher,,,
George Silides:8,George Silides,George,Silides,,,
George Sullivan:3,George Sullivan,George,Sullivan,,,
Georgianna Lincoln:17,Georgianna Lincoln,Georgianna,Lincoln,,,
Geran Tarr:28,Geran Tarr,Geran,Tarr,,,
Gilbert Jarvela:2,Gilbert Jarvela,Gilbert,Jarvela,,,
Glenn Hackney:8,Glenn Hackney,W,Hackney,,,
Grace Johnson:2,Grace Johnson,Grace,Johnson,,,
Grant Pearson:1,Grant Pearson,Grant,Pearson,,,
Gretchen Guess:22,Gretchen Guess,Gretchen,Guess,,,
Grier Hopkins:31,Grier Hopkins,Grier,Hopkins,,,
H Hershberger:9,H Hershberger,H,Hershberger,,,
H Meland:7,H Meland,H,Meland,,,
H Moss:11,H Moss,H,Moss,,,
Hal Smalley:21,Hal Smalley,Hal,Smalley,,,
Harley Olberg:18,Harley Olberg,Harley,Olberg,,,
Harold Hansen:1,Harold Hansen,Harold,Hansen,,,
Harold Strandberg:2,Harold Strandberg,Harold,Strandberg,,,
Harriet Drummond:28,Harriet Drummond,Harriet,Drummond,,,
Harry Crawford:22,Harry Crawford,Harry,Crawford,,,
Helen Beirne:6,Helen Beirne,Helen,Beirne,,,
Helen Fischer:1,Helen Fischer,Helen,Fischer,,,
Henry Boucher:14,Henry Boucher,H,Boucher,,,
Henry Haag:1,Henry Haag,Henry,Haag,,,
Henry Pratt:2,Henry Pratt,Henry,Pratt,,,
Henry Reeves:6,Henry Reeves,Henry,Reeves,,,
Henry Springer:15,Henry Springer,Henry,Springer,,,
Hollis French:23,Hollis French,Hollis,French,,,
Homer Moseley:3,Homer Moseley,Homer,Moseley,,,
Howard Bradshaw:1,Howard Bradshaw,Howard,Bradshaw,,,
Howard Pollock:2,Howard Pollock,Howard,Pollock,,,
Hubert Gilbert:1,Hubert Gilbert,Hubert,Gilbert,,,
Hugh Fate:22,Hugh Fate,Hugh,Fate,,,
Hugh Malone:8,Hugh Malone,Hugh,Malone,,,
I Wilson:8,I Wilson,I,Wilson,,,
Irene Nicholia:18,Irene Nicholia,Irene,Nicholia,,,
Irene Ryan:1,Irene Ryan,Irene,Ryan,,,
Irwin Metcalf:1,Irwin Metcalf,Irwin,Metcalf,,,
Ivan Ivan:17,Ivan Ivan,Ivan,Ivan,,,
Ivy Spohnholz:29,Ivy Spohnholz,Ivy,Spohnholz,,,
J Earl Cooper:1,J Earl Cooper,J,Cooper,Earl,,
J Roady:1,J Roady,J,Roady,,,
Jack Coghill:1,Jack Coghill,John,Coghill,B,Jack,
Jack McBride:13,Jack McBride,Jack,McBride,,,
Jack Simpson:5,Jack Simpson,Jack,Simpson,,,
Jack Weise:1,Jack Weise,Jack,Weise,,,
Jack White:3,Jack White,Jack,White,,,
Jacob Laktonen:8,Jacob Laktonen,Jacob,Laktonen,,,
Jacob Stalker:2,Jacob Stalker,Jacob,Stalker,,,
Jalmar Kerttula:2,Jalmar Kerttula,Jalmar,Kerttula,,,
James Fisher:1,James Fisher,James,Fisher,,,
James Hoffman:1,James Hoffman,James,Hoffman,,,
James Huntington:9,James Huntington,James,Huntington,,,
James Hurley:1,James Hurley,James,Hurley,,,
James Kaufman:32,James Kaufman,James,Kaufman,,,
James Nolan:1,James Nolan,James,Nolan,,,
James Norene:1,James Norene,James,Norene,,,
James Parsons:2,James Parsons,James,Parsons,,,
James Zawacki:15,James Zawacki,James,Zawacki,,,
Jamie Allard:33,Jamie Allard,Jamie,Allard,,,
Jan Faiks:13,Jan Faiks,Jan,Faiks,,,
Jan Koslosky:5,Jan Koslosky,Jan,Koslosky,,,
Jason Grenn:30,Jason Grenn,Jason,Grenn,,,
Jay Hammond:1,Jay Hammond,Jay,Hammond,,,
Jay Ramras:24,Jay Ramras,Jay,Ramras,,,
Jeannette James:18,Jeannette James,Jeannette,James,,,
Jennie Armstrong:33,Jennie Armstrong,Jennie,Armstrong,,,
Jennifer Johnston:30,Jennifer Johnston,Jennifer,Johnston,,,
Jeremy Bynum:34,Jeremy Bynum,Jeremy,Bynum,,,
Jerry Mackie:17,Jerry Mackie,Jerry,Mackie,,,
Jerry Sanders:18,Jerry Sanders,Jerry,Sanders,,,
Jerry Ward:13,Jerry Ward,Jerry,Ward,,,
Jess Harris:5,Jess Harris,Jess,Harris,,,
Jesse Bjorkman:33,Jesse Bjorkman,Jesse,Bjorkman,,,
Jesse Kiehl:31,Jesse Kiehl,Jesse,Kiehl,,,
Jesse Sumner:33,Jesse Sumner,Jesse,Sumner,,,
Jim Colver:29,Jim Colver,Jim,Colver,,,
Jim Duncan:9,Jim Duncan,Jim,Duncan,,,
Jim Elkins:24,Jim Elkins,Jim,Elkins,,,
Jim Holm:23,Jim Holm,Jim,Holm,,,
Jim Nordlund:18,Jim Nordlund,Jim,Nordlund,,,
Jim Whitaker:21,Jim Whitaker,Jim,Whitaker,,,
Jo Miller:8,Jo Miller,Jo,Miller,,,
Joe Flood:13,Joe Flood,Joe,Flood,,,
Joe Green:18,Joe Green,Joseph,Green,,Joe,
Joe Hayes:10,Joe Hayes,Joe,Hayes,,,
Joe Montgomery:11,Joe Montgomery,Joe,Montgomery,,,
Joe Paskvan:26,Joe Paskvan,Joe,Paskvan,,,
Joe Ryan:20,Joe Ryan,Joe,Ryan,,,
Joe Sitton:18,Joe Sitton,Joe,Sitton,,,
Joe Thomas:25,Joe Thomas,Joe,Thomas,,,
John Butrovich:3,John Butrovich,John,Butrovich,,,
John Coghill:16,John Coghill,John,Coghill,,,
John Cowdery:13,John Cowdery,John,Cowdery,,,
John Curtis:1,John Curtis,John,Curtis,,,
John Davies:18,John Davies,John,Davies,,,
John Fuller:11,John Fuller,John,Fuller,,,
John Gonzales:17,John Gonzales,John,Gonzales,,,
John Hall:3,John Hall,John,Hall,,,
John Harris:21,John Harris,John,Harris,,,
John Hellenthal:1,John Hellenthal,John,Hellenthal,,,
John Holm:3,John Holm,John,Holm,,,
John Huber:7,John Huber,John,Huber,,,
John Lincoln:30,John Lincoln,John,Lincoln,,,
John Lindauer:13,John Lindauer,John,Lindauer,,,
John Liska:13,John Liska,John,Liska,,,
John Longworth:1,John Longworth,John,Longworth,,,
John McNees:1,John McNees,John,McNees,,,
John Nusunginya:1,John Nusunginya,John,Nusunginya,,,
John O'Connell:4,John O'Connell,John,O'Connell,,,
John Rader:1,John Rader,John,Rader,,,
John Ringstad:13,John Ringstad,John,Ringstad,,,
John Sackett:5,John Sackett,John,Sackett,,,
John Schwamm:6,John Schwamm,John,Schwamm,,,
John Sund:13,John Sund,John,Sund,,,
John Sweet:6,John Sweet,John,Sweet,,,
John Torgerson:19,John Torgerson,John,Torgerson,,,
John Westdahl:5,John Westdahl,John,Westdahl,,,
Johne Binkley:14,Johne Binkley,Johne,Binkley,,,
Johnny Ellis:15,Johnny Ellis,Johnny,Ellis,,,
Jonathan Kreiss-Tomkins:28,Jonathan Kreiss-Tomkins,Jonathan,Kreiss-Tomkins,,,
Joseph Chuckwuk:12,Joseph Chuckwuk,Joseph,Chuckwuk,,,
Joseph Josephson:3,Joseph Josephson,Joseph,Josephson,,,
Joseph McGill:4,Joseph McGill,Joseph,McGill,,,
Joseph McKinnon:9,Joseph McKinnon,Joseph,McKinnon,,,
Joseph Orsini:8,Joseph Orsini,Joseph,Orsini,,,
Joshua Revak:31,Joshua Revak,Joshua,Revak,,Josh,
Joshua Wright:7,Joshua Wright,Joshua,Wright,,,
Josiah Patkotak:32,Josiah Patkotak,Josiah,Patkotak,,,
Joyce Munson:11,Joyce Munson,Joyce,Munson,,,
Jubilee Underwood:34,Jubilee Underwood,Jubilee,Underwood,,,
Judith Salo:16,Judith Salo,Judith,Salo,,,
Jules Wright:5,Jules Wright,Jules,Wright,,,
Julie Coulombe:33,Julie Coulombe,Julie,Coulombe,,,
Justin Parish:30,Justin Parish,Justin,Parish,,,
Justin Ruffridge:33,Justin Ruffridge,Justin,Ruffridge,,,
Kathryn Ostrosky:9,Kathryn Ostrosky,Kathryn,Ostrosky,,,
Kathryn Poland:6,Kathryn Poland,Kathryn,Poland,,,
Katie Hurley:14,Katie Hurley,Katie,Hurley,,,
Kay Brown:15,Kay Brown,Kay,Brown,,,
Keith Miller:3,Keith Miller,Keith,Miller,,,
Keith Specking:7,Keith Specking,Keith,Specking,,,
Kelly Merrick:31,Kelly Merrick,Kelly,Merrick,,,
Kelly Wolf:23,Kelly Wolf,Kelly,Wolf,,,
Ken Brady:5,Ken Brady,Ken,Brady,,,
Ken Fanning:12,Ken Fanning,Ken,Fanning,,,
Ken Lancaster:22,Ken Lancaster,Ken,Lancaster,,,
Ken McCarty:32,Ken McCarty,Ken,McCarty,,,
Kenneth Garrison:2,Kenneth Garrison,Kenneth,Garrison,,,
Kevin McCabe:32,Kevin McCabe,Kevin,McCabe,,,
Kevin Meyer:22,Kevin Meyer,Kevin,Meyer,,,
Kevin Parnell:17,Kevin Parnell,Kevin,Parnell,,,
Kim Elton:19,Kim Elton,Kim,Elton,,,
Kris Lethin:10,Kris Lethin,Kris,Lethin,,,
Kurt Olson:24,Kurt Olson,Kurt,Olson,,,
Ky Holland:34,Ky Holland,Ky,Holland,,,
Kyle Johansen:25,Kyle Johansen,Kyle,Johansen,,,
Laddie Shaw:31,Laddie Shaw,Laddie,Shaw,,,
Lance Pruitt:27,Lance Pruitt,Lance,Pruitt,,,
Larry Baker:17,Larry Baker,Larry,Baker,,,
Larry Carpenter:10,Larry Carpenter,Larry,Carpenter,,,
Larry Davis:9,Larry Davis,Larry,Davis,,,
Lawrence Petersen:8,Lawrence Petersen,Lawrence,Petersen,,,
Leo Rhode:2,Leo Rhode,Leo,Rhode,,,
Leo Schaeffer:10,Leo Schaeffer,Leo,Schaeffer,,,
Les Gara:23,Les Gara,Les,Gara,,,
Lesil McGuire:22,Lesil McGuire,Lesil,McGuire,,,
Leslie Swanson:7,Leslie Swanson,Leslie,Swanson,,,
Lester Bronson:1,Lester Bronson,Lester,Bronson,,,
Linda Menard:26,Linda Menard,Linda,Menard,,,
Lindsey Holmes:25,Lindsey Holmes,Lindsey,Holmes,,,
Lisa Murkowski:21,Lisa Murkowski,Lisa,Murkowski,,,
Lisa Rudd:9,Lisa Rudd,Lisa,Rudd,,,
Liz Snyder:32,Liz Snyder,Liz,Snyder,,,
Liz Vazquez:29,Liz Vazquez,Liz,Vazquez,,,
Lloyd Jones:15,Lloyd Jones,Lloyd,Jones,,,
Löki Tobin:33,Löki Tobin,Löki,Tobin,,,
Lora Reinbold:28,Lora Reinbold,Lora,Reinbold,,,
Loren Leman:16,Loren Leman,Loren,Leman,,,
Louise Stutes:29,Louise Stutes,Louise,Stutes,,,
Lowell Thomas:5,Lowell Thomas,Lowell,Thomas,,,
Lucille Pinkerton:4,Lucille Pinkerton,Lucille,Pinkerton,,,
Lyda Green:19,Lyda Green,Lyda,Green,,,
Lyman Hoffman:15,Lyman Hoffman,Lyman,Hoffman,,,
Lynn Gattis:28,Lynn Gattis,Lynn,Gattis,,,
M Moore:5,M Moore,M,Moore,,,
M Plotnick:4,M Plotnick,M,Plotnick,,,
Mae Tischer:13,Mae Tischer,Mae,Tischer,,,
Marco Pignalberi:14,Marco Pignalberi,Marco,Pignalberi,,,
Marcus Jensen:2,Marcus Jensen,Marcus,Jensen,,,
Margaret Branson:11,Margaret Branson,Margaret,Branson,,,
Mark Boyer:15,Mark Boyer,Mark,Boyer,,,
Mark Hanley:17,Mark Hanley,Mark,Hanley,,,
Mark Hodgins:20,Mark Hodgins,Mark,Hodgins,,,
Mark Neuman:24,Mark Neuman,Mark,Neuman,,,
Martin Moore:7,Martin Moore,Martin,Moore,,,
Marty Farrell:7,Marty Farrell,Marty,Farrell,,,
Mary Kapsner:21,Mary Kapsner,Mary,Kapsner,,,
Mary Miller:17,Mary Miller,Mary,Miller,,,
Mary Nelson:25,Mary Nelson,Mary,Nelson,,,
Matt Claman:29,Matt Claman,Matt,Claman,,,
Maurice Smith:3,Maurice Smith,Maurice,Smith,,,
Max Gruenberg:14,Max Gruenberg,Max,Gruenberg,,,
Maxine Dibert:33,Maxine Dibert,Maxine,Dibert,,,
Mel Gillis:31,Mel Gillis,Mel,Gillis,,,
Merle Snider:10,Merle Snider,Merle,Snider,,,
Mia Costello:27,Mia Costello,Mia,Costello,,,
Michael Beirne:5,Michael Beirne,Michael,Beirne,,,
Mike Bradner:5,Mike Bradner,Mike,Bradner,,,
Mike Chenault:22,Mike Chenault,Mike,Chenault,,,
Mike Colletta:7,Mike Colletta,Mike,Colletta,,,
Mike Cronk:32,Mike Cronk,Mike,Cronk,,,
Mike Davis:13,Mike Davis,Mike,Davis,,,
Mike Doogan:25,Mike Doogan,Mike,Doogan,,,
Mike Dunleavy:28,Mike Dunleavy,Mike,Dunleavy,,,
Mike Gravel:3,Mike Gravel,Mike,Gravel,,,
Mike Hawker:23,Mike Hawker,Mike,Hawker,,,
Mike Kelly:24,Mike Kelly,Mike,Kelly,,,
Mike M Miller:7,Mike M Miller,Michael,Miller,M,,
Mike Navarre:14,Mike Navarre,Mike,Navarre,,,
Mike Prax:31,Mike Prax,Mike,Prax,,,
Mike Rose:7,Mike Rose,Mike,Rose,,,
Mike Shower:30,Mike Shower,Mike,Shower,,,
Mike Szymanski:13,Mike Szymanski,Mike,Szymanski,,,
Mike W Miller:13,Mike W Miller,Mike,Miller,W,,
Mildred Banfield:3,Mildred Banfield,Mildred,Banfield,,,
Milo Fritz:5,Milo Fritz,Milo,Fritz,,,
Mitchell Abood:12,Mitchell Abood,Mitchell,Abood,,,
Morgan Reed:1,Morgan Reed,Morgan,Reed,,,
Moses Pauken:5,Moses Pauken,Moses,Pauken,,,
Nancy Dahlstrom:23,Nancy Dahlstrom,Nancy,Dahlstrom,,,
Natasha von Imhof:30,Natasha von Imhof,Natasha,von Imhof,,,
Neal Foster:26,Neal Foster,Neal,Foster,Winston,,
Neal Foster:3,Neal Foster,Neal,Foster,William,,
Nellie Jimmie:34,Nellie Jimmie,Nellie,Jimmie,Unangiq,,
Nels Anderson:9,Nels Anderson,Nels,Anderson,,,
Nicholas Begich:3,Nicholas Begich,Nicholas,Begich,,,
Nick Stepovich:23,Nick Stepovich,Nick,Stepovich,,,
Niilo Koponen:13,Niilo Koponen,Niilo,Koponen,,,
Norbert Skinner:4,Norbert Skinner,Norbert,Skinner,,,
Norman Rokeberg:19,Norman Rokeberg,Norman,Rokeberg,,,
Oral Freeman:1,Oral Freeman,Oral,Freeman,,,
