LegislatureNumber,PersonId,MemberCode,MemberChamber,MemberDistrict,MemberParty,MemberIsMajority,MemberIsActive,MemberComment,MemberEMail,MemberPhone,MemberBuilding,MemberRoom
4,Walter LeFevre:4,,H,,,,,,,,,
4,Warren Taylor:1,,H,,,,,,,,,
4,William Boardman:2,,H,,,,,,,,,
4,William Moran:4,,H,,,,,,,,,
4,John Butrovich:3,,S,,,,,,,,,
4,Neal Foster:3,,S,,,,,,,,,
4,Robert Ziegler:4,,S,,,,,,,,,
4,Alfred Owen:1,,S,,,,,,,,,
4,Brad Phillips:2,,S,,,,,,,,,
4,David Harrison:3,,S,,,,,,,,,
4,Eben Hopson:1,,S,,,,,,,,,
4,Frank Peratrovich:1,,S,,,,,,,,,
4,Grant Pearson:1,,S,,,,,,,,,
4,Harold Hansen:1,,S,,,,,,,,,
4,Howard Bradshaw:1,,S,,,,,,,,,
4,Howard Pollock:2,,S,,,,,,,,,
4,James Nolan:1,,S,,,,,,,,,
4,John Hall:3,,S,,,,,,,,,
4,Nicholas Begich:3,,S,,,,,,,,,
4,Pearse Walsh:2,,S,,,,,,,,,
4,Richard Peter:4,,S,,,,,,,,,
4,Robert Blodgett:1,,S,,,,,,,,,
4,Robert McNealy:1,,S,,,,,,,,,
4,Yule Kilcher:3,,S,,,,,,,,,
5,Bill Ray:4,,H,,,,,,,,,
5,Carl Moses:4,,H,,,,,,,,,
5,Clem Tillion:3,,H,,,,,,,,,
5,E Haugen:4,,H,,,,,,,,,
5,George Hohman:5,,H,,,,,,,,,
5,Jalmar Kerttula:2,,H,,,,,,,,,
5,John Sackett:5,,H,,,,,,,,,
5,Michael Beirne:5,,H,,,,,,,,,
5,Milo Fritz:5,,H,,,,,,,,,
5,Willie Hensley:5,,H,,,,,,,,,
5,Charles Powell:5,,H,,,,,,,,,
5,Charles Sassara:4,,H,,,,,,,,,
5,Don Smith:5,,H,,,,,,,,,
5,Donald Young:5,,H,,,,,,,,,
5,Edmund Orbeck:1,,H,,,,,,,,,
5,Frank Getman:5,,H,,,,,,,,,
5,Frank See:4,,H,,,,,,,,,
5,Gene Guess:4,,H,,,,,,,,,
5,Harold Strandberg:2,,H,,,,,,,,,
5,Irwin Metcalf:1,,H,,,,,,,,,
5,Jack Simpson:5,,H,,,,,,,,,
5,Jess Harris:5,,H,,,,,,,,,
5,John Holm:3,,H,,,,,,,,,
5,John Westdahl:5,,H,,,,,,,,,
5,Joseph McGill:4,,H,,,,,,,,,
5,Jules Wright:5,,H,,,,,,,,,
5,Ken Brady:5,,H,,,,,,,,,
5,M Moore:5,,H,,,,,,,,,
5,Mike Bradner:5,,H,,,,,,,,,
5,Mildred Banfield:3,,H,,,,,,,,,
5,Moses Pauken:5,,H,,,,,,,,,
5,Pete Cessnun:5,,H,,,,,,,,,
5,R Borer:5,,H,,,,,,,,,
5,Ted Stevens:4,,H,,,,,,,,,
5,Terry Miller:5,,H,,,,,,,,,
5,Thomas Balone:4,,H,,,,,,,,,
5,Tom Fink:5,,H,,,,,,,,,
5,Tury Anderson:5,,H,,,,,,,,,
5,William Boardman:2,,H,,,,,,,,,
5,William Moran:4,,H,,,,,,,,,
5,William Wiggins:3,,H,,,,,,,,,
5,John Butrovich:3,,S,,,,,,,,,
5,Robert Ziegler:4,,S,,,,,,,,,
5,Elton Engstrom Jr:4,,S,,,,,,,,,
5,Bill Poland:4,,S,,,,,,,,,
5,Brad Phillips:2,,S,,,,,,,,,
5,Carl Brady:4,,S,,,,,,,,,
5,Clyde Lewis:5,,S,,,,,,,,,
5,Frank Harris:5,,S,,,,,,,,,
5,Howard Bradshaw:1,,S,,,,,,,,,
5,Jan Koslosky:5,,S,,,,,,,,,
5,Jay Hammond:1,,S,,,,,,,,,
5,Lowell Thomas:5,,S,,,,,,,,,
5,Maurice Smith:3,,S,,,,,,,,,
5,Nicholas Begich:3,,S,,,,,,,,,
5,Paul Haggland:5,,S,,,,,,,,,
5,Raymond Christiansen:2,,S,,,,,,,,,
5,Robert Blodgett:1,,S,,,,,,,,,
5,Vance Phillips:2,,S,,,,,,,,,
5,W Palmer:5,,S,,,,,,,,,
5,William Waugaman:5,,S,,,,,,,,,
6,Bill Ray:4,,H,,,,,,,,,
6,Carl Moses:4,,H,,,,,,,,,
6,Chancy Croft:6,,H,,,,,,,,,
6,Clem Tillion:3,,H,,,,,,,,,
6,E Haugen:4,,H,,,,,,,,,
6,George Hohman:5,,H,,,,,,,,,
6,Jalmar Kerttula:2,,H,,,,,,,,,
6,John Sackett:5,,H,,,,,,,,,
6,Richard Eliason:6,,H,,,,,,,,,
6,Willie Hensley:5,,H,,,,,,,,,
6,Barry Jackson:4,,H,,,,,,,,,
6,Charles Sassara:4,,H,,,,,,,,,
6,Donald Young:5,,H,,,,,,,,,
6,Earl Hillstrand:1,,H,,,,,,,,,
6,Edmund Orbeck:1,,H,,,,,,,,,
6,Eugene Miller:6,,H,,,,,,,,,
6,Frank Peratrovich:1,,H,,,,,,,,,
6,Gene Guess:4,,H,,,,,,,,,
6,Genie Chance:6,,H,,,,,,,,,
6,Helen Beirne:6,,H,,,,,,,,,
6,Henry Reeves:6,,H,,,,,,,,,
6,Irwin Metcalf:1,,H,,,,,,,,,
6,Jess Harris:5,,H,,,,,,,,,
6,John Holm:3,,H,,,,,,,,,
6,John Schwamm:6,,H,,,,,,,,,
6,John Sweet:6,,H,,,,,,,,,
6,Joseph McGill:4,,H,,,,,,,,,
6,Lester Bronson:1,,H,,,,,,,,,
6,Mike Bradner:5,,H,,,,,,,,,
6,Mildred Banfield:3,,H,,,,,,,,,
6,Moses Pauken:5,,H,,,,,,,,,
6,Peter Deveau:1,,H,,,,,,,,,
6,R Borer:5,,H,,,,,,,,,
6,Richard McVeigh:6,,H,,,,,,,,,
6,Ron Rettig:6,,H,,,,,,,,,
6,Stanley Cornelius:6,,H,,,,,,,,,
6,Tom Fink:5,,H,,,,,,,,,
6,Tury Anderson:5,,H,,,,,,,,,
6,Wendell Kay:6,,H,,,,,,,,,
6,William Boardman:2,,H,,,,,,,,,
6,John Butrovich:3,,S,,,,,,,,,
6,John Rader:1,,S,,,,,,,,,
6,Joseph Josephson:3,,S,,,,,,,,,
6,Kathryn Poland:6,,S,,,,,,,,,
6,Robert Ziegler:4,,S,,,,,,,,,
6,Elton Engstrom Jr:4,,S,,,,,,,,,
6,Bill Poland:4,,S,,,,,,,,,
6,Brad Phillips:2,,S,,,,,,,,,
6,Clyde Lewis:5,,S,,,,,,,,,
6,Edward Merdes:6,,S,,,,,,,,,
6,Howard Bradshaw:1,,S,,,,,,,,,
6,Jan Koslosky:5,,S,,,,,,,,,
6,Jay Hammond:1,,S,,,,,,,,,
6,Lowell Thomas:5,,S,,,,,,,,,
6,Nicholas Begich:3,,S,,,,,,,,,
6,Paul Haggland:5,,S,,,,,,,,,
6,Raymond Christiansen:2,,S,,,,,,,,,
6,Robert Blodgett:1,,S,,,,,,,,,
6,Terry Miller:5,,S,,,,,,,,,
6,Vance Phillips:2,,S,,,,,,,,,
6,W Palmer:5,,S,,,,,,,,,
7,Carl Moses:4,,H,,,,,,,,,
7,Clem Tillion:3,,H,,,,,,,,,
7,E Haugen:4,,H,,,,,,,,,
7,Frank Ferguson:7,,H,,,,,,,,,
7,George Hohman:5,,H,,,,,,,,,
7,H Meland:7,,H,,,,,,,,,
7,Jalmar Kerttula:2,,H,,,,,,,,,
7,John Huber:7,,H,,,,,,,,,
7,Keith Specking:7,,H,,,,,,,,,
7,Leslie Swanson:7,,H,,,,,,,,,
7,Mike Colletta:7,,H,,,,,,,,,
7,Mike M Miller:7,,H,,,,,,,,,
7,Richard Randolph:7,,H,,,,,,,,,
7,Andrew Warwick:7,,H,,,,,,,,,
7,Chuck Degnan:7,,H,,,,,,,,,
7,Earl Hillstrand:1,,H,,,,,,,,,
7,Edmund Orbeck:1,,H,,,,,,,,,
7,Edward Barber:7,,H,,,,,,,,,
7,Edward Flynn:7,,H,,,,,,,,,
7,Edward Naughton:7,,H,,,,,,,,,
7,Eugene Miller:6,,H,,,,,,,,,
7,Frank Peratrovich:1,,H,,,,,,,,,
7,Gene Guess:4,,H,,,,,,,,,
7,Genie Chance:6,,H,,,,,,,,,
7,Helen Fischer:1,,H,,,,,,,,,
7,Jess Harris:5,,H,,,,,,,,,
7,John Holm:3,,H,,,,,,,,,
7,Joseph McGill:4,,H,,,,,,,,,
7,Joshua Wright:7,,H,,,,,,,,,
7,Martin Moore:7,,H,,,,,,,,,
7,Marty Farrell:7,,H,,,,,,,,,
7,Mike Bradner:5,,H,,,,,,,,,
7,Mike Rose:7,,H,,,,,,,,,
7,Mildred Banfield:3,,H,,,,,,,,,
7,Morgan Reed:1,,H,,,,,,,,,
7,Richard McVeigh:6,,H,,,,,,,,,
7,Richard Whittaker:7,,H,,,,,,,,,
7,Robert Ditman:2,,H,,,,,,,,,
7,Tom Fink:5,,H,,,,,,,,,
7,Willard Bowman:7,,H,,,,,,,,,
7,William Moran:4,,H,,,,,,,,,
7,Bill Ray:4,,S,,,,,,,,,
7,Chancy Croft:6,,S,,,,,,,,,
7,H Meland:7,,S,,,,,,,,,
7,John Butrovich:3,,S,,,,,,,,,
7,John Rader:1,,S,,,,,,,,,
7,Joseph Josephson:3,,S,,,,,,,,,
7,Kathryn Poland:6,,S,,,,,,,,,
7,Robert Ziegler:4,,S,,,,,,,,,
7,Willie Hensley:5,,S,,,,,,,,,
7,Clifford Groh:7,,S,,,,,,,,,
7,Clyde Lewis:5,,S,,,,,,,,,
7,Donald Young:5,,S,,,,,,,,,
7,Edward Merdes:6,,S,,,,,,,,,
7,Howard Bradshaw:1,,S,,,,,,,,,
7,Jan Koslosky:5,,S,,,,,,,,,
7,Jay Hammond:1,,S,,,,,,,,,
7,Lowell Thomas:5,,S,,,,,,,,,
7,Raymond Christiansen:2,,S,,,,,,,,,
7,Ron Rettig:6,,S,,,,,,,,,
7,Terry Miller:5,,S,,,,,,,,,
7,W Palmer:5,,S,,,,,,,,,
8,Alfred Ose:8,,H,,,,,,,,,
8,Clem Tillion:3,,H,,,,,,,,,
8,E Haugen:4,,H,,,,,,,,,
8,Frank Ferguson:7,,H,,,,,,,,,
8,Glenn Hackney:8,,H,,,,,,,,,
8,Hugh Malone:8,,H,,,,,,,,,
8,John Huber:7,,H,,,,,,,,,
8,Joseph Orsini:8,,H,,,,,,,,,
8,Keith Specking:7,,H,,,,,,,,,
8,Mike M Miller:7,,H,,,,,,,,,
8,Milo Fritz:5,,H,,,,,,,,,
8,Oral Freeman:1,,H,,,,,,,,,
8,Phillip Guy:8,,H,,,,,,,,,
8,Richard Eliason:6,,H,,,,,,,,,
8,Richard Randolph:7,,H,,,,,,,,,
8,Richard Urion:8,,H,,,,,,,,,
8,Russ Meekins:1,,H,,,,,,,,,
8,Terry Gardiner:8,,H,,,,,,,,,
8,William Parker:8,,H,,,,,,,,,
8,A Saylors:8,,H,,,,,,,,,
8,Andrew Warwick:7,,H,,,,,,,,,
8,Charles Wingrove:8,,H,,,,,,,,,
8,Chuck Degnan:7,,H,,,,,,,,,
8,Earl Hillstrand:1,,H,,,,,,,,,
8,Edward Barber:7,,H,,,,,,,,,
8,Edward Naughton:7,,H,,,,,,,,,
8,Genie Chance:6,,H,,,,,,,,,
8,Helen Beirne:6,,H,,,,,,,,,
8,Helen Fischer:1,,H,,,,,,,,,
8,I Wilson:8,,H,,,,,,,,,
8,Jacob Laktonen:8,,H,,,,,,,,,
8,Jo Miller:8,,H,,,,,,,,,
8,Joseph McGill:4,,H,,,,,,,,,
8,Lawrence Petersen:8,,H,,,,,,,,,
8,Mike Bradner:5,,H,,,,,,,,,
8,Mildred Banfield:3,,H,,,,,,,,,
8,Richard McVeigh:6,,H,,,,,,,,,
8,Robert Hartig:8,,H,,,,,,,,,
8,Selwyn Carrol:8,,H,,,,,,,,,
8,Tom Fink:5,,H,,,,,,,,,
8,Willard Bowman:7,,H,,,,,,,,,
8,Bill Ray:4,,S,,,,,,,,,
8,Chancy Croft:6,,S,,,,,,,,,
8,George Hohman:5,,S,,,,,,,,,
8,H Meland:7,,S,,,,,,,,,
8,Jalmar Kerttula:2,,S,,,,,,,,,
8,John Butrovich:3,,S,,,,,,,,,
8,John Rader:1,,S,,,,,,,,,
8,John Sackett:5,,S,,,,,,,,,
8,Kathryn Poland:6,,S,,,,,,,,,
8,Robert Ziegler:4,,S,,,,,,,,,
8,Willie Hensley:5,,S,,,,,,,,,
8,Clifford Groh:7,,S,,,,,,,,,
8,Clyde Lewis:5,,S,,,,,,,,,
8,Donald Young:5,,S,,,,,,,,,
8,George Silides:8,,S,,,,,,,,,
8,Jess Harris:5,,S,,,,,,,,,
8,Keith Miller:3,,S,,,,,,,,,
8,Lowell Thomas:5,,S,,,,,,,,,
8,Ron Rettig:6,,S,,,,,,,,,
8,Terry Miller:5,,S,,,,,,,,,
8,W Palmer:5,,S,,,,,,,,,
9,Alfred Ose:8,,H,,,,,,,,,
9,Alvin Osterback:9,,H,,,,,,,,,
9,Bob Bradley:9,,H,,,,,,,,,
9,Charles Parr:9,,H,,,,,,,,,
9,Clark Gruening:9,,H,,,,,,,,,
9,E Haugen:4,,H,,,,,,,,,
9,Fred Brown:9,,H,,,,,,,,,
9,Glenn Hackney:8,,H,,,,,,,,,
9,Hugh Malone:8,,H,,,,,,,,,
9,Jim Duncan:9,,H,,,,,,,,,
9,Joseph McKinnon:9,,H,,,,,,,,,
9,Keith Specking:7,,H,,,,,,,,,
9,Leo Rhode:2,,H,,,,,,,,,
9,Leslie Swanson:7,,H,,,,,,,,,
9,Lisa Rudd:9,,H,,,,,,,,,
9,Michael Beirne:5,,H,,,,,,,,,
9,Mike M Miller:7,,H,,,,,,,,,
9,Nels Anderson:9,,H,,,,,,,,,
9,Oral Freeman:1,,H,,,,,,,,,
9,Phillip Guy:8,,H,,,,,,,,,
9,Richard Eliason:6,,H,,,,,,,,,
9,Richard Urion:8,,H,,,,,,,,,
9,Samuel Cotten:9,,H,,,,,,,,,
9,Steve Cowper:9,,H,,,,,,,,,
9,Terry Gardiner:8,,H,,,,,,,,,
9,Thelma Buchholdt:9,,H,,,,,,,,,
9,William Parker:8,,H,,,,,,,,,
9,Brenda Itta:9,,H,,,,,,,,,
9,Edmund Orbeck:1,,H,,,,,,,,,
9,Edward Naughton:7,,H,,,,,,,,,
9,H Hershberger:9,,H,,,,,,,,,
9,Helen Beirne:6,,H,,,,,,,,,
9,Helen Fischer:1,,H,,,,,,,,,
9,James Huntington:9,,H,,,,,,,,,
9,Kathryn Ostrosky:9,,H,,,,,,,,,
9,Larry Davis:9,,H,,,,,,,,,
9,Mike Bradner:5,,H,,,,,,,,,
9,Ramona Kelley:9,,H,,,,,,,,,
9,Susan Sullivan:9,,H,,,,,,,,,
9,Theodore Smith:9,,H,,,,,,,,,
9,Tim Wallis:9,,H,,,,,,,,,
9,Tom Fink:5,,H,,,,,,,,,
9,Willard Bowman:7,,H,,,,,,,,,
9,Bill Ray:4,,S,,,,,,,,,
9,Chancy Croft:6,,S,,,,,,,,,
9,Clem Tillion:3,,S,,,,,,,,,
9,Edward Willis:9,,S,,,,,,,,,
9,Frank Ferguson:7,,S,,,,,,,,,
9,George Hohman:5,,S,,,,,,,,,
9,H Meland:7,,S,,,,,,,,,
9,Jalmar Kerttula:2,,S,,,,,,,,,
9,John Butrovich:3,,S,,,,,,,,,
9,John Huber:7,,S,,,,,,,,,
9,John Rader:1,,S,,,,,,,,,
9,John Sackett:5,,S,,,,,,,,,
9,Joseph Orsini:8,,S,,,,,,,,,
9,Kathryn Poland:6,,S,,,,,,,,,
9,Mike Colletta:7,,S,,,,,,,,,
9,Patrick Rodey:9,,S,,,,,,,,,
9,Robert Ziegler:4,,S,,,,,,,,,
9,W E Bradley:9,,S,,,,,,,,,
9,Genie Chance:6,,S,,,,,,,,,
9,Terry Miller:5,,S,,,,,,,,,
10,Oral Freeman:1,Fre,H,1,D,FALSE,TRUE,,Representative.Oral.Freeman@akleg.gov,,,
10,Terry Gardiner:8,Gar,H,1,D,FALSE,TRUE,,Representative.Terry.Gardiner@akleg.gov,,,
10,E Haugen:4,Hau,H,2,R,FALSE,TRUE,,Representative.E..Haugen@akleg.gov,,,
10,Richard Eliason:6,Eli,H,3,R,FALSE,TRUE,,Representative.Richard.Eliason@akleg.gov,,,
10,Jim Duncan:9,Dun,H,4,D,FALSE,TRUE,,Representative.Jim.Duncan@akleg.gov,,,
10,Mike M Miller:7,MiM,H,4,D,FALSE,TRUE,,Representative.M..Miller@akleg.gov,,,
10,Peter Lovseth:10,Lov,H,5,R,FALSE,TRUE,"""Appointed May 6, 1977 to fill the vacancy left by Keith Specking's resignation""",Representative.Peter.Lovseth@akleg.gov,,,
10,Keith Specking:7,Spe,H,5,R,FALSE,FALSE,"""Resigned April 25, 1977""",Representative.Keith.Specking@akleg.gov,,,
10,Alfred Ose:8,Ose,H,6,D,FALSE,TRUE,,Representative.Alfred.Ose@akleg.gov,,,
