MemberId,PersonId,LegislatureNumber,MemberCode,LastName,MiddleName,FirstName,FormalName,ShortName,SessionContact,InterimContact,Chamber,District,Seat,Party,Phone,EMail,Building,Room,Comment,IsActive,IsMajority
24:H:Jay Ramras:24,Jay Ramras:24,24,RAR,Ramras,,Jay,Representative Jay Ramras,Ramras,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,10,,R,4653004,Representative.Jay.Ramras@akleg.gov,CAPITOL,104,,true,true
24:S:Bert Stedman:23,Bert Stedman:23,24,SMN,Stedman,,Bert,Senator Bert Stedman,Stedman,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,A,,R,4653873,Senator.Bert.Stedman@akleg.gov,CAPITOL,30,,true,true
15:S:Johne Binkley:14,Johne Binkley:14,15,Bin,Binkley,,Johne,Senator Johne Binkley,Binkley,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,M,,R,,Senator.Johne.Binkley@akleg.gov,,,,true,false
15:H:Mike W Miller:13,Mike W Miller:13,15,Mil,Miller,,Mike,Representative Mike Miller,Miller,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,18,,R,,Representative.Mike.Miller@akleg.gov,,,,true,false
23:H:Tom Anderson:23,Tom Anderson:23,23,ADE,Anderson,,Tom,Representative Tom Anderson,Anderson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,19,,R,4654939,Representative.Tom.Anderson@akleg.gov,CAPITOL,432,,true,true
23:H:Norman Rokeberg:19,Norman Rokeberg:19,23,ROK,Rokeberg,,Norman,Representative Norman Rokeberg,Rokeberg,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,27,,R,4654968,Representative.Norman.Rokeberg@akleg.gov,CAPITOL,214,,true,true
23:H:Jim Whitaker:21,Jim Whitaker:21,23,WHI,Whitaker,,Jim,Representative Jim Whitaker,Whitaker,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,10,,R,4653004,Representative.Jim.Whitaker@akleg.gov,CAPITOL,501,"Resigned; October 27, 2003",false,true
31:S:John Coghill:16,John Coghill:16,31,CGL,Coghill,,John,Senator John Coghill,Coghill,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,B,,R,4653719,Senator.John.Coghill@akleg.gov,CAPITOL,103,,true,true
31:S:Shelley Hughes:27,Shelley Hughes:27,31,HUS,Hughes,,Shelley,Senator Shelley Hughes,Hughes,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,F,,R,4653743,Senator.Shelley.Hughes@akleg.gov,CAPITOL,30,,true,true
31:H:Mark Neuman:24,Mark Neuman:24,31,NEU,Neuman,,Mark,Representative Mark Neuman,Neuman,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,8,,R,4652679,Representative.Mark.Neuman@akleg.gov,CAPITOL,434,,true,false
31:H:Colleen Sullivan-Leonard:30,Colleen Sullivan-Leonard:30,31,SUL,Sullivan-Leonard,,Colleen,Representative Colleen Sullivan-Leonard,Sullivan-Leonard,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,7,,R,4654833,Representative.Colleen.Sullivan-Leonard@akleg.gov,CAPITOL,420,,true,false
16:S:Johne Binkley:14,Johne Binkley:14,16,BIN,Binkley,,Johne,Senator Johne Binkley,Binkley,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,M,,R,,Senator.Johne.Binkley@akleg.gov,,,,true,false
16:H:Randy Phillips:10,Randy Phillips:10,16,PHI,Phillips,,Randy,Representative Randy Phillips,Phillips,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,15-B,,R,,Representative.Randy.Phillips@akleg.gov,,,,true,false
25:H:Beth Kerttula:21,Beth Kerttula:21,25,KER,Kerttula,,Beth,Representative Beth Kerttula,Kerttula,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,3,,D,4654766,Representative.Beth.Kerttula@akleg.gov,CAPIT0L,404,House Minority Leader,true,false
25:H:Mark Neuman:24,Mark Neuman:24,25,NEU,Neuman,,Mark,Representative Mark Neuman,Neuman,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,15,,R,4652679,Representative.Mark.Neuman@akleg.gov,CAPITOL,432,,true,true
25:H:Woodie Salmon:24,Woodie Salmon:24,25,SAE,Salmon,,Woodie,Representative Woodie Salmon,Salmon,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,6,,D,4654527,Representative.Woodie.Salmon@akleg.gov,CAPITOL,114,,true,false
32:H:Ben Carpenter:31,Ben Carpenter:31,32,CAE,Carpenter,,Ben,Representative Ben Carpenter,Carpenter,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,29,,R,4653779,Representative.Ben.Carpenter@akleg.gov,CAPITOL,400,,true,false
32:H:Ken McCarty:32,Ken McCarty:32,32,MCC,McCarty,,Ken,Representative Ken McCarty,McCarty,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,13,,R,4653873,Representative.Ken.McCarty@akleg.gov,CAPITOL,428,,true,false
18:S:Rick Halford:11,Rick Halford:11,18,HAL,Halford,,Richard,Senator Richard Halford,Halford,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,M,,R,4654958,Senator.Richard.Halford@akleg.gov,CAPITOL,111,Senate President,true,true
18:H:Harley Olberg:18,Harley Olberg:18,18,OLB,Olberg,,Harley,Representative Harley Olberg,Olberg,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,35,,R,4650000,Representative.Harley.Olberg@akleg.gov,,,,true,true
28:H:Doug Isaacson:28,Doug Isaacson:28,28,ISN,Isaacson,,Doug,Representative Doug Isaacson,Isaacson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,1,,R,4654527,Representative.Doug.Isaacson@akleg.gov,CAPITOL,13,,true,true
12:S:Nels Anderson:9,Nels Anderson:9,12,AnN,Anderson,,Nels,Senator Nels Anderson,Anderson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,M,,D,,Senator.Nels.Anderson@akleg.gov,,,"""Appointed on March 2, 1982 to fill the vacancy left by George Hohman's expultion""",true,false
12:H:Thelma Buchholdt:9,Thelma Buchholdt:9,12,Buc,Buchholdt,,Thelma,Representative Thelma Buchholdt,Buchholdt,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,9,,D,,Representative.Thelma.Buchholdt@akleg.gov,,,,true,false
12:H:Vernon Hurlbert:11,Vernon Hurlbert:11,12,Hur,Hurlbert,,Vernon,Representative Vernon Hurlbert,Hurlbert,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,18,,D,,Representative.Vernon.Hurlbert@akleg.gov,,,,true,false
12:S:Tim Kelly:10,Tim Kelly:10,12,Kel,Kelly,,Tim,Senator Tim Kelly,Kelly,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,F,,R,,Senator.Tim.Kelly@akleg.gov,,,,true,false
12:H:H Moss:11,H Moss:11,12,Mos,Moss,,H.,Representative H. Moss,Moss,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,19,,D,,Representative.H..Moss@akleg.gov,,,,true,false
12:H:Sarah Smith:10,Sarah Smith:10,12,Smi,Smith,,Sarah,Representative Sarah Smith,Smith,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,D,,Representative.Sarah.Smith@akleg.gov,,,,true,false
12:S:Arliss Sturgulewski:11,Arliss Sturgulewski:11,12,Stu,Sturgulewski,,Arliss,Senator Arliss Sturgulewski,Sturgulewski,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,H,,R,,Senator.Arliss.Sturgulewski@akleg.gov,,,,true,false
27:H:Mike Chenault:22,Mike Chenault:22,27,CHE,Chenault,,Mike,Representative Mike Chenault,Chenault,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,34,,R,4653779,Representative.Mike.Chenault@akleg.gov,CAPITOL,208,Speaker of the House,true,true
27:S:Cathy Giessel:27,Cathy Giessel:27,27,GIE,Giessel,,Cathy,Senator Cathy Giessel,Giessel,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,P,,R,4654843,Senator.Cathy.Giessel@akleg.gov,CAPITOL,7,,true,false
27:H:Paul Seaton:23,Paul Seaton:23,27,SAN,Seaton,,Paul,Representative Paul Seaton,Seaton,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,35,,R,4652689,Representative.Paul.Seaton@akleg.gov,CAPITOL,102,,true,true
27:S:Gary Stevens:22,Gary Stevens:22,27,STG,Stevens,,Gary,Senator Gary Stevens,Stevens,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,R,,R,4654925,Senator.Gary.Stevens@akleg.gov,CAPITOL,111,Senate President,true,true
33:H:Maxine Dibert:33,Maxine Dibert:33,33,DIB,Dibert,,Maxine,Representative Maxine Dibert,Dibert,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,31,,D,4652138,Representative.Maxine.Dibert@akleg.gov,CAPITOL,424,,true,false
33:H:Andrew Gray:33,Andrew Gray:33,33,GRY,Gray,,Andrew,Representative Andrew Gray,Gray,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,D,4654940,Representative.Andrew.Gray@akleg.gov,CAPITOL,434,,true,false
33:H:Cliff Groh:33,Cliff Groh:33,33,GRO,Groh,,Cliff,Representative Cliff Groh,Groh,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,18,,D,4654998,Representative.Cliff.Groh@akleg.gov,CAPITOL,430,,true,false
33:H:Calvin Schrage:32,Calvin Schrage:32,33,SCG,Schrage,,Calvin,Representative Calvin Schrage,Schrage,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,12,,N,4654931,Representative.Calvin.Schrage@akleg.gov,CAPITOL,404,Minority Leader,true,false
33:S:Mike Shower:30,Mike Shower:30,33,SHO,Shower,,Mike,Senator Mike Shower,Shower,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,O,,R,4656600,Senator.Mike.Shower@akleg.gov,CAPITOL,419,,true,false
14:H:Pat Pourchot:14,Pat Pourchot:14,14,Pou,Pourchot,,Pat,Representative Pat Pourchot,Pourchot,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,13-A,,D,,Representative.Pat.Pourchot@akleg.gov,,,,true,false
14:H:Dave Thompson:14,Dave Thompson:14,14,Tho,Thompson,,Dave,Representative Dave Thompson,Thompson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,27,,R,,Representative.Dave.Thompson@akleg.gov,,,,true,false
14:S:Fred Zharoff:11,Fred Zharoff:11,14,Zha,Zharoff,,Fred,Senator Fred Zharoff,Zharoff,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,N,,D,,Senator.Fred.Zharoff@akleg.gov,,,,true,false
